>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,,>,,,>
>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,,>,,,>
<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,,>,,<,>
<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,,>,,<,>
<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,>,>,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,>,>,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,>,>,>,>,>,>,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,>,<,<,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,=,<,<,
,,,,,>,>,>,>,>,>,>,>,>,>,>,>,>,,,,,,,,>,,,>
,,,,,>,>,>,>,>,>,>,>,>,>,>,>,>,,,,,,,,>,,,>
>,>,,,,>,>,>,>,>,>,>,>,>,>,>,>,>,=,=,=,=,=,=,,>,,,>
<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<,OK
